null_index,seed,swap_attempts,swap_accepted,mobility_fraction,graph_signature,scale_persistence,time_persistence,stitch_defect,stitch_p90,stitch_max,stitch_n
77,20260982,87245,3882,0.04449538655510345,311804958410a6a37121000f25a82924c9bd530a529e24f5d779a03996e05ba0,0.34972541188217676,0.5065300381756078,0.329858605203852,1.0,1.0000000000000002,4742
78,20260983,87245,3932,0.04506848530001719,9fcfcd218fa2fab3db8511778fe1dd134da51b7008bfeb5c0b2f4a741be66597,0.34939257779996674,0.5059589903027611,0.3240139289013228,1.0,1.0000000000000002,4728
79,20260984,87245,3979,0.045607198120236114,5e397d979105540600526cba46dcb836992752953733d48dbcb77b79642c9e4f,0.34997503744383424,0.5060964647906687,0.3306737667052135,1.0,1.0000000000000002,4736
80,20260985,87245,3962,0.045412344546965445,efcd6c8eadb692a133caee2c8d23d8f3f57f7dcfa63b9d265e614c6361e6e72f,0.3496422033616242,0.5060753148694521,0.3274181942985367,1.0,1.0000000000000002,4721
81,20260986,87245,3898,0.044678778153475845,00d8b0b5f358299c1918c51b892d649f3e10aeecd0c2088cff645e4c8a5d6efc,0.34972541188217676,0.5080422575425907,0.32880939022522704,1.0,1.0000000000000002,4740
82,20260987,87245,3940,0.045160181099203396,26dc342ec6211c250d31b60d21eec776661094707a555ece3d16818f4eaeda25,0.3493093692794142,0.5068155621120312,0.3276648555896068,1.0,1.0000000000000002,4744
83,20260988,87245,4031,0.04620322081494641,21a820548e2f3b85d7a617dd75be0cfd7d8986efe2e3e87a208f495cdc47e793,0.3493093692794142,0.5082749066759726,0.3304535586953886,1.0,1.0000000000000002,4745
84,20260989,87245,3988,0.04571035589432059,a7060da8cfbffb69145d8c61dd8deaf9ac6053378c2953db72cd843469562f32,0.35034947578632053,0.5062127893573597,0.3285905079345363,1.0,1.0000000000000002,4755
85,20260990,87245,4043,0.046340764513725714,9532700d310ca8bf3284b2999120a1ffa9c7315de4cda918a387cd798ff1f469,0.3488517224163754,0.507471209669744,0.3346828796250067,1.0,1.0000000000000002,4739
86,20260991,87245,4025,0.04613444896555677,f01d9445983453171cfa921dc7ce3205db3cd38c426f008fcbb58ff72fd332a4,0.3487269096355467,0.5072702854181868,0.3286967719812145,1.0,1.0000000000000002,4731
87,20260992,87245,4001,0.045859361567998164,c0509afd24d53b4d8641f3b82a2a93635d3407b2df418b222e30e4fb97de27f6,0.3493093692794142,0.5075981091970433,0.3260914118385521,1.0,1.0000000000000002,4734
88,20260993,87245,3962,0.045412344546965445,fe3061739fd2ea92c8522a5cb257631841f199e7b45213b655a887de02847932,0.34947578632051923,0.5065406131362161,0.33102828575613735,1.0,1.0000000000000002,4740
89,20260994,87245,3976,0.04557281219554129,93adabfe8b6f9114b189c08ac01d9b3bd883d369224f6eb02ed41fd17df7cc4a,0.34814444999167915,0.507587534236435,0.32838158175106347,1.0,1.0000000000000002,4734
90,20260995,87245,3973,0.04553842627084647,7c924bbb003086d9cf326258bb3aa3c99a16f125626ece95ec0b23481d1cdad4,0.3488517224163754,0.5064560134513499,0.3354570814163521,1.0,1.0000000000000002,4729
91,20260996,87245,3953,0.04530918677288097,ad30651c706e511e2e160d865fbebee328cd61fccc5e98561e4cb4e815fddeee,0.34918455649858543,0.5070376362848049,0.3285729473325691,1.0,1.0000000000000002,4717
92,20260997,87245,3974,0.04554988824574474,11d850a3225dec902bfcb41135fe4950772fd4cbc69c55bd1a21aa86a59d3209,0.3493093692794142,0.506223364317968,0.3267126999504563,1.0,1.0000000000000002,4730
93,20260998,87245,3909,0.04480485987735687,5469845affe0fed1de7af311e9df2546e4cac1d61a75d246d1c03571172ec618,0.34860209685471794,0.5077673085667757,0.3246565298204642,1.0,1.0000000000000002,4743
94,20260999,87245,3989,0.04572181786921887,5f0400d00813c17894cb18fc085e96e12d9b5510d31902b624f929ec5d7e08b3,0.3493093692794142,0.5071856857333207,0.33109141933637876,1.0,1.0000000000000002,4731
95,20261000,87245,4049,0.046409536363115365,7457f78c18fedaaf4a4612aa12f88bb2d166c74ef940d9776e3e5a81139f3b10,0.3492261607588617,0.5054619671541724,0.33148041897011465,1.0,1.0000000000000002,4739
96,20261001,87245,4030,0.04619175884004814,236bc968ffc1f9ca4bb5a3984b715ee63a324f65c9d80caf32dd444b0f3bf25d,0.349267765019138,0.5069213117181139,0.3313135739416841,1.0,1.0000000000000002,4734
97,20261002,87245,3891,0.04459854432918792,db17cb1757d127099cd28704d0d3dc0b8546b6e2f887d3e0d85683251264be59,0.349767016142453,0.5068578619544643,0.3278900986981361,1.0,1.0000000000000002,4735
98,20261003,87245,3990,0.04573327984411714,48a19e48f5a03a1d39596c3649d6f2e648175a1d9bef1d5eab995fce83949ad3,0.3493093692794142,0.506614637860474,0.3241328073079607,1.0,1.0000000000000002,4709
99,20261004,87245,3966,0.04545819244655854,f6f1f39ed59f256bc6a65a25e4b36b32c2be0c2e71a39faf6d4b40e5be138d4a,0.3501414544849393,0.5072174106151455,0.33081161432008094,1.0,1.0000000000000002,4739
100,20261005,87245,3968,0.04548111639635509,201965e7f1177ab4c1330a72819b710a2429a0f9a55a152f61bb6ff1500be16e,0.35030787152604426,0.5065300381756078,0.3262905427650073,1.0,1.0000000000000002,4743
