time,amplitude
33.175,-13964.0
33.2,-6093.0
33.225,-3451.0
33.25,-10465.0
33.275,-10695.0
33.3,-6668.0
33.325,-6339.0
33.35,-4331.0
33.375,2115.0
33.4,2258.0
33.425,1337.0
33.45,5807.0
33.475,4302.0
33.5,2796.0
33.525,4698.0
33.55,11234.0
33.575,11638.0
33.6,434.0
33.625,2338.0
33.65,3798.0
33.675,4168.0
33.7,14448.0
33.725,15877.0
33.75,17147.0
33.775,17434.0
33.8,14031.0
33.825,9709.0
33.85,3246.0
33.875,6238.0
33.9,4100.0
33.925,-1718.0
33.95,5640.0
33.975,10066.0
34.0,8354.0
34.025,11871.0
34.05,10306.0
34.075,925.0
34.1,1768.0
34.125,10951.0
34.15,11292.0
34.175,5841.0
34.2,9231.0
34.225,8704.0
34.25,2136.0
34.275,5093.0
34.3,3717.0
34.325,5570.0
34.35,8400.0
34.375,-1302.0
34.4,34.0
34.425,4609.0
34.45,1493.0
34.475,-1648.0
34.5,-5254.0
34.525,-7166.0
34.55,-9964.0
34.575,-8594.0
34.6,-7095.0
34.625,-2024.0
34.65,5030.0
34.675,-1510.0
34.7,-900.0
34.725,2414.0
34.75,-524.0
34.775,-1800.0
34.8,-10177.0
34.825,-7697.0
34.85,-1869.0
34.875,-8540.0
34.9,-8305.0
34.925,-2138.0
34.95,3485.0
34.975,42.0
35.0,-11323.0
35.025,-10820.0
35.05,-7317.0
35.075,-10402.0
35.1,-10642.0
35.125,-5697.0
35.15,-254.0
35.175,-1814.0
35.2,-7239.0
35.225,-2880.0
35.25,9539.0
35.275,11814.0
35.3,4964.0
35.325,6045.0
35.35,10563.0
35.375,12066.0
35.4,12606.0
35.425,5906.0
35.45,4672.0
35.475,12305.0
35.5,10560.0
35.525,6867.0
35.55,7429.0
35.575,8912.0
35.6,4831.0
35.625,776.0
35.65,10287.0
35.675,7584.0
35.7,-4215.0
35.725,-309.0
35.75,5383.0
35.775,3842.0
35.8,-2027.0
35.825,-2720.0
35.85,1669.0
35.875,899.0
35.9,-1114.0
35.925,-874.0
35.95,-2728.0
35.975,-5554.0
36.0,-7794.0
36.025,-7762.0
36.05,-4136.0
36.075,-6192.0
36.1,-8870.0
36.125,-6388.0
36.15,-4463.0
36.175,2995.0
36.2,6329.0
36.225,-7443.0
36.25,-14424.0
36.275,-5071.0
36.3,-2719.0
36.325,-3356.0
36.35,-1540.0
36.375,-8619.0
36.4,-13541.0
36.425,-9180.0
36.45,-5870.0
36.475,-10373.0
36.5,-12494.0
36.525,-4910.0
36.55,-7069.0
36.575,-12057.0
36.6,-6409.0
36.625,-7944.0
36.65,-10548.0
36.675,-7768.0
36.7,-8171.0
36.725,-10557.0
36.75,-14861.0
36.775,-12847.0
36.8,-11489.0
